magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,magnitude_cat_strong,depth_cat_shallow,year_cat_after_2020,year_cat_before_2010
7.0,8.0,7.0,768,117,0.509,17.0,14.0,-9.7963,159.596,2022,11,1,False,True,True,False
6.9,4.0,4.0,735,99,2.229,34.0,25.0,-4.9559,100.738,2022,11,0,False,True,True,False
7.0,3.0,3.0,755,147,3.125,18.0,26.0,-20.0508,-178.346,2022,11,1,False,False,True,False
7.3,5.0,5.0,833,149,1.865,21.0,37.0,-19.2918,-172.129,2022,11,1,True,True,True,False
6.7,7.0,6.0,797,145,1.151,37.0,20.0,7.6712,-82.3396,2022,10,1,False,True,True,False
6.8,9.0,6.0,887,215,0.401,20.0,10.0,23.1444,121.307,2022,9,1,False,True,True,False
6.6,9.0,8.0,1043,141,8.454,34.0,12.0,29.7263,102.279,2022,9,0,False,True,True,False
6.6,7.0,6.0,672,68,5.293,34.0,30.0,-32.6922,-178.959,2022,8,1,False,True,True,False
7.0,9.0,8.0,1351,152,5.276,22.0,26.0,17.5978,120.809,2022,7,1,False,False,True,False
6.8,2.0,5.0,733,127,0.371,45.0,10.0,-54.1325,159.027,2022,5,1,False,True,True,False
7.0,6.0,4.0,763,0,2.705,26.0,10.0,-22.5732,170.349,2022,3,1,False,True,True,False
6.9,6.0,4.0,738,0,2.697,42.0,10.0,-22.72,170.277,2022,3,1,False,True,True,False
6.7,8.0,7.0,806,0,0.289,32.0,24.0,23.3421,121.636,2022,3,1,False,True,True,False
7.3,9.0,8.0,2397,0,2.936,29.0,41.0,37.7015,141.587,2022,3,1,True,True,True,False
6.7,9.0,6.0,708,0,2.188,43.0,28.0,-0.6831,98.6034,2022,3,0,False,True,True,False
6.6,2.0,7.0,670,0,0.827,46.0,24.0,-30.0528,-177.74,2022,3,1,False,True,True,False
6.8,2.0,3.0,712,0,5.78,12.0,26.0,-23.7852,-179.968,2022,2,1,False,False,True,False
6.6,8.0,6.0,785,0,2.418,22.0,33.0,-6.9291,105.251,2022,1,0,False,True,True,False
6.6,8.0,5.0,674,0,0.507,49.0,19.0,52.6252,-168.15,2022,1,1,False,True,True,False
6.7,0.0,6.0,691,20,0.0,20.0,33.0,52.48,-167.736,2022,1,1,False,True,True,False
6.6,6.0,6.0,976,0,1.168,21.0,21.0,35.1456,31.9095,2022,1,0,False,True,True,False
6.6,9.0,8.0,1012,0,2.685,13.0,13.0,37.8167,101.299,2022,1,0,False,True,True,False
7.3,9.0,5.0,854,0,1.025,32.0,14.27,-7.6033,122.2,2021,12,1,True,True,True,False
6.6,7.0,4.0,688,0,3.259,15.0,12.0,23.5414,126.48,2021,11,1,False,True,True,False
6.9,5.0,6.0,995,0,0.0,0.0,51.6,56.2581,-156.492,2021,10,1,False,True,True,False
7.0,8.0,8.0,2504,0,0.07,43.0,20.0,16.9502,-99.7877,2021,9,1,False,True,True,False
7.1,1.0,4.0,776,0,9.799,32.0,6.0,-60.3026,-24.9992,2021,8,1,True,True,True,False
6.6,1.0,3.0,670,0,8.865,19.0,7.0,-60.1023,-24.4608,2021,8,1,False,True,True,False
6.9,6.0,4.0,734,0,8.363,48.0,16.7,-58.3814,-23.3318,2021,8,1,False,True,True,False
7.2,5.0,8.0,2331,0,1.178,23.0,10.0,18.3521,-73.4804,2021,8,1,True,True,True,False
6.9,5.0,4.0,738,0,0.0,0.0,33.3,55.2364,-157.707,2021,8,1,False,True,True,False
6.9,5.0,4.0,738,0,1.173,36.0,20.74,55.2657,-157.68,2021,8,1,False,True,True,False
7.5,9.0,6.0,868,0,7.227,38.0,47.23,-57.5959,-25.1874,2021,8,1,True,True,True,False
7.1,9.0,7.0,846,0,1.273,25.0,55.14,6.4547,126.742,2021,8,1,True,True,True,False
6.5,0.0,4.0,650,0,7.994,24.0,25.0,-30.2144,-177.773,2021,6,1,False,True,True,False
6.5,5.0,7.0,652,0,4.518,44.0,10.0,-16.4796,-177.356,2021,5,1,False,True,True,False
7.3,9.0,9.0,1025,0,4.655,20.0,10.0,34.5861,98.2551,2021,5,0,True,True,True,False
